Date,Open,High,Low,Close,Volume
2016-01-04,102.61,105.37,102.0,105.35,67281190
2016-01-05,105.75,105.85,102.41,102.71,55790992
2016-01-06,100.56,102.37,99.87,100.7,68457388
2016-01-07,98.68,100.13,96.43,96.45,81094428
2016-01-08,98.55,99.11,96.76,96.96,70798016
2016-01-11,98.97,99.06,97.34,98.53,49739377
2016-01-12,100.55,100.69,98.84,99.96,49154227
2016-01-13,100.32,101.19,97.3,97.39,61745031
2016-01-14,97.96,100.48,95.74,99.52,62424154
2016-01-15,96.2,97.71,95.36,97.13,79010008
2016-01-19,98.41,98.65,95.5,96.66,52841349
2016-01-20,95.1,98.19,93.42,96.79,72008265
2016-01-21,97.06,97.88,94.94,96.3,52054521
2016-01-22,98.63,101.46,98.37,101.42,65562769
2016-01-25,101.52,101.53,99.21,99.44,51196375
2016-01-26,99.93,100.88,98.07,99.99,63538305
2016-01-27,96.04,96.63,93.34,93.42,132224500
2016-01-28,93.79,94.52,92.39,94.09,55557109
2016-01-29,94.79,97.34,94.35,97.34,64010141
2016-02-01,96.47,96.71,95.4,96.43,40571593
2016-02-02,95.42,96.04,94.28,94.48,37081206
2016-02-03,95.0,96.84,94.08,96.35,45366710
2016-02-04,95.86,97.33,95.19,96.6,46263907
2016-02-05,96.52,96.92,93.69,94.02,45853883
2016-02-08,93.13,95.7,93.04,95.01,53852284
2016-02-09,94.29,95.94,93.93,94.99,44262912
2016-02-10,95.92,96.35,94.1,94.27,42244975
2016-02-11,93.79,94.72,92.59,93.7,49686210
2016-02-12,94.19,94.5,93.01,93.99,40121670
2016-02-16,95.02,96.85,94.61,96.64,47490678
2016-02-17,96.67,98.21,96.15,98.12,44390173
2016-02-18,98.84,98.89,96.09,96.26,38494442
2016-02-19,96.0,96.76,95.8,96.04,34485576
2016-02-22,96.31,96.9,95.92,96.88,34048195
2016-02-23,96.4,96.5,94.55,94.69,31686699
2016-02-24,93.98,96.38,93.32,96.1,36155642
2016-02-25,96.05,96.76,95.25,96.76,27393905
2016-02-26,97.2,98.02,96.58,96.91,28913208
2016-02-29,96.86,98.23,96.65,96.69,34876558
2016-03-01,97.65,100.77,97.42,100.53,50153943
2016-03-02,100.51,100.89,99.64,100.75,33084941
2016-03-03,100.58,101.71,100.45,101.5,36792245
2016-03-04,102.37,103.75,101.37,103.01,45936485
2016-03-07,102.39,102.83,100.96,101.87,35828909
2016-03-08,100.78,101.76,100.4,101.03,31274161
2016-03-09,101.31,101.58,100.27,101.12,27130729
2016-03-10,101.41,102.24,100.15,101.17,33513577
2016-03-11,102.24,102.28,101.5,102.26,27200833
2016-03-14,101.91,102.91,101.78,102.52,25027426
2016-03-15,103.96,105.18,103.85,104.58,40067734
2016-03-16,104.61,106.31,104.59,105.97,37893758
2016-03-17,105.52,106.47,104.96,105.8,34244593
2016-03-18,106.34,106.5,105.19,105.92,43402289
2016-03-21,105.93,107.65,105.14,105.91,35180796
2016-03-22,105.25,107.29,105.21,106.72,32232567
2016-03-23,106.48,107.07,105.9,106.13,25452612
2016-03-24,105.47,106.25,104.89,105.67,25480914
2016-03-28,106.0,106.19,105.06,105.19,19303557
2016-03-29,104.89,107.79,104.88,107.68,30774115
2016-03-30,108.65,110.42,108.6,109.56,45159861
2016-03-31,109.72,109.9,108.88,108.99,25685672
2016-04-01,108.78,110.0,108.2,109.99,25626163
2016-04-04,110.42,112.19,110.27,111.12,37243224
2016-04-05,109.51,110.73,109.42,109.81,26495312
2016-04-06,110.23,110.98,109.2,110.96,26047772
2016-04-07,109.95,110.42,108.12,108.54,30881022
2016-04-08,108.91,109.77,108.17,108.66,23514462
2016-04-11,108.97,110.61,108.83,109.02,28313525
2016-04-12,109.34,110.5,108.66,110.44,26812000
2016-04-13,110.8,112.34,110.8,112.04,32691799
2016-04-14,111.62,112.39,111.33,112.1,25337435
2016-04-15,112.11,112.3,109.73,109.85,46418482
2016-04-18,108.89,108.95,106.94,107.48,60834027
2016-04-19,107.88,108.0,106.23,106.91,32292344
2016-04-20,106.64,108.09,106.06,107.13,28666865
2016-04-21,106.93,106.93,105.52,105.97,31356434
2016-04-22,105.01,106.48,104.62,105.68,33477142
2016-04-25,105.0,105.65,104.51,105.08,27950966
2016-04-26,103.91,105.3,103.91,104.35,40338403
2016-04-27,96.0,98.71,95.68,97.82,113538389
2016-04-28,97.61,97.88,94.25,94.83,81990674
2016-04-29,93.99,94.72,92.51,93.74,68334434
2016-05-02,93.96,94.08,92.4,93.64,47736879
2016-05-03,94.2,95.74,93.68,95.18,56533960
2016-05-04,95.2,95.9,93.82,94.19,40824776
2016-05-05,94.0,94.07,92.68,93.24,35763138
2016-05-06,93.37,93.45,91.85,92.72,43458189
2016-05-09,93.0,93.77,92.59,92.79,32855251
2016-05-10,93.33,93.57,92.11,93.42,33592465
2016-05-11,93.48,93.57,92.46,92.51,28539912
2016-05-12,92.72,92.78,89.47,90.34,76109795
2016-05-13,90.0,91.67,90.0,90.52,44188153
2016-05-16,92.39,94.39,91.65,93.88,61140610
2016-05-17,94.55,94.7,93.01,93.49,46507449
2016-05-18,94.16,95.21,93.89,94.56,41923114
2016-05-19,94.64,94.64,93.57,94.2,29693945
2016-05-20,94.64,95.43,94.52,95.22,31804564
2016-05-23,95.87,97.19,95.67,96.43,37860535
2016-05-24,97.22,98.09,96.84,97.9,35036561
2016-05-25,98.67,99.74,98.11,99.62,38168760
2016-05-26,99.68,100.73,98.64,100.41,56093437
2016-05-27,99.44,100.47,99.24,100.35,36229530
2016-05-31,99.6,100.4,98.82,99.86,42307212
2016-06-01,99.02,99.54,98.33,98.46,29173285
2016-06-02,97.6,97.84,96.63,97.72,40191600
2016-06-03,97.79,98.27,97.45,97.92,28504888
2016-06-06,97.99,101.89,97.55,98.63,23292504
2016-06-07,99.25,99.87,98.96,99.03,22409450
2016-06-08,99.02,99.56,98.68,98.94,20848131
2016-06-09,98.5,99.99,98.46,99.65,26601354
2016-06-10,98.53,99.35,98.48,98.83,31712936
2016-06-13,98.69,99.12,97.1,97.34,38020494
2016-06-14,97.32,98.48,96.75,97.46,31931944
2016-06-15,97.82,98.41,97.03,97.14,29445227
2016-06-16,96.45,97.75,96.07,97.55,31326815
2016-06-17,96.62,96.65,95.3,95.33,61008219
2016-06-20,96.0,96.57,95.03,95.1,34411901
2016-06-21,94.94,96.35,94.68,95.91,35546358
2016-06-22,96.25,96.89,95.35,95.55,29219122
2016-06-23,95.94,96.29,95.25,96.1,32240187
2016-06-24,92.91,94.66,92.65,93.4,75311356
2016-06-27,93.0,93.05,91.5,92.04,46622188
2016-06-28,92.9,93.66,92.14,93.59,40444914
2016-06-29,93.97,94.55,93.63,94.4,36531006
2016-06-30,94.44,95.77,94.3,95.6,35836356
2016-07-01,95.49,96.46,95.33,95.89,26026540
2016-07-05,95.39,95.4,94.46,94.99,27705210
2016-07-06,94.6,95.66,94.37,95.53,30949090
2016-07-07,95.7,96.5,95.62,95.94,25139558
2016-07-08,96.49,96.89,96.05,96.68,28912103
2016-07-11,96.75,97.65,96.73,96.98,23794945
2016-07-12,97.17,97.7,97.12,97.42,24167463
2016-07-13,97.41,97.67,96.84,96.87,25892171
2016-07-14,97.39,98.99,97.32,98.79,38918997
2016-07-15,98.92,99.3,98.5,98.78,30136990
2016-07-18,98.7,100.13,98.6,99.83,36493867
2016-07-19,99.56,100.0,99.34,99.87,23779924
2016-07-20,100.0,100.46,99.74,99.96,26275968
2016-07-21,99.83,101.0,99.13,99.43,32702028
2016-07-22,99.26,99.3,98.31,98.66,28313669
2016-07-25,98.25,98.84,96.92,97.34,40382921
2016-07-26,96.82,97.97,96.42,96.67,56239822
2016-07-27,104.26,104.35,102.75,102.95,92344820
2016-07-28,102.83,104.45,102.82,104.34,39869839
2016-07-29,104.19,104.55,103.68,104.21,27733688
2016-08-01,104.41,106.15,104.41,106.05,38167871
2016-08-02,106.05,106.07,104.0,104.48,33816556
2016-08-03,104.81,105.84,104.77,105.79,30202641
2016-08-04,105.58,106.0,105.28,105.87,27408650
2016-08-05,106.27,107.65,106.18,107.48,40553402
2016-08-08,107.52,108.37,107.16,108.37,28037220
2016-08-09,108.23,108.94,108.01,108.81,26315204
2016-08-10,108.71,108.9,107.76,108.0,24008505
2016-08-11,108.52,108.93,107.85,107.93,27484506
2016-08-12,107.78,108.44,107.78,108.18,18660434
2016-08-15,108.14,109.54,108.08,109.48,25868209
2016-08-16,109.63,110.23,109.21,109.38,33794448
2016-08-17,109.1,109.37,108.34,109.22,25355976
2016-08-18,109.23,109.6,109.02,109.08,21984703
2016-08-19,108.77,109.69,108.36,109.36,25368072
2016-08-22,108.86,109.1,107.85,108.51,25820230
2016-08-23,108.59,109.32,108.53,108.85,21257669
2016-08-24,108.56,108.75,107.68,108.03,23675081
2016-08-25,107.39,107.88,106.68,107.57,25086248
2016-08-26,107.41,107.95,106.31,106.94,27766291
2016-08-29,106.62,107.44,106.29,106.82,24970300
2016-08-30,105.8,106.5,105.5,106.0,24863945
2016-08-31,105.66,106.57,105.64,106.1,29662406
2016-09-01,106.14,106.8,105.62,106.73,26701523
2016-09-02,107.7,108.0,106.82,107.73,26334858
2016-09-06,107.9,108.3,107.51,107.7,26880391
2016-09-07,107.83,108.76,107.07,108.36,42364328
2016-09-08,107.25,107.27,105.24,105.52,53002026
2016-09-09,104.64,105.72,103.13,103.13,46556984
2016-09-12,102.65,105.72,102.53,105.44,45292770
2016-09-13,107.51,108.79,107.24,107.95,62176190
2016-09-14,108.73,113.03,108.6,111.77,112340318
2016-09-15,113.86,115.73,113.49,115.57,90613177
2016-09-16,115.12,116.13,114.04,114.92,79886911
2016-09-19,115.19,116.18,113.25,113.58,47023046
2016-09-20,113.05,114.12,112.51,113.57,34514269
2016-09-21,113.85,113.99,112.44,113.55,36003185
2016-09-22,114.35,114.94,114.0,114.62,31073984
2016-09-23,114.42,114.79,111.55,112.71,52481151
2016-09-26,111.64,113.39,111.55,112.88,29869442
2016-09-27,113.0,113.18,112.34,113.09,24607412
2016-09-28,113.69,114.64,113.43,113.95,29641085
2016-09-29,113.16,113.8,111.8,112.18,35886990
2016-09-30,112.46,113.37,111.8,113.05,36379106
2016-10-03,112.71,113.05,112.28,112.52,21701760
2016-10-04,113.06,114.31,112.63,113.0,29736835
2016-10-05,113.4,113.66,112.69,113.05,21453089
2016-10-06,113.7,114.34,113.13,113.89,28779313
2016-10-07,114.31,114.56,113.51,114.06,24358443
2016-10-10,115.02,116.75,114.72,116.05,36235956
2016-10-11,117.7,118.69,116.2,116.3,64041043
2016-10-12,117.35,117.98,116.75,117.34,37586787
