Date,Open,High,Low,Close,Volume
2016-01-04,656.29,657.72,627.51,636.99,9280761
2016-01-05,646.86,646.91,627.65,633.79,5822603
2016-01-06,622.0,639.79,620.31,632.65,5329197
2016-01-07,621.8,630.0,605.21,607.94,7074915
2016-01-08,619.66,624.14,606.0,607.05,5512915
2016-01-11,612.48,619.85,598.57,617.74,4891551
2016-01-12,625.25,625.99,612.24,617.89,4724100
2016-01-13,620.88,620.88,579.16,581.81,7599968
2016-01-14,580.25,602.25,569.88,593.0,7203038
2016-01-15,572.24,584.62,565.3,570.18,7754464
2016-01-19,577.09,584.0,566.45,574.48,4782763
2016-01-20,564.36,578.45,547.18,571.77,7944703
2016-01-21,573.58,588.81,568.22,575.02,4932633
2016-01-22,588.73,600.1,584.11,596.38,5101123
2016-01-25,597.99,608.5,594.56,596.53,4376653
2016-01-26,603.45,604.5,590.38,601.25,3743213
2016-01-27,601.99,603.39,578.78,583.35,5029472
2016-01-28,608.37,638.06,597.55,635.35,12615917
2016-01-29,571.98,593.0,570.0,587.0,14622317
2016-02-01,578.15,581.8,570.31,574.81,6313793
2016-02-02,570.0,571.56,550.09,552.1,6281425
2016-02-03,553.5,556.0,521.9,531.07,10037222
2016-02-04,525.0,538.99,519.22,536.26,6176558
2016-02-05,529.28,529.45,499.19,502.13,9639606
2016-02-08,486.47,493.5,475.21,488.1,9808766
2016-02-09,478.01,498.38,474.0,482.07,7045885
2016-02-10,491.76,504.66,486.0,490.48,6746103
2016-02-11,491.17,509.3,484.0,503.82,7372686
2016-02-12,510.7,516.75,501.49,507.08,5357247
2016-02-16,519.48,524.45,511.66,521.1,5080654
2016-02-17,528.74,537.48,519.39,534.1,4777467
2016-02-18,541.19,541.2,523.73,525.0,4704237
2016-02-19,520.71,535.95,515.35,534.9,4941120
2016-02-22,542.2,560.65,541.08,559.5,5541066
2016-02-23,555.55,556.91,545.33,552.94,4035929
2016-02-24,545.75,554.27,533.15,554.04,6207285
2016-02-25,555.52,559.39,545.29,555.15,4510534
2016-02-26,560.12,562.5,553.17,555.23,4858230
2016-02-29,554.0,564.81,552.51,552.52,4013368
2016-03-01,556.29,579.25,556.0,579.04,5014414
2016-03-02,581.75,585.0,573.7,580.21,4576922
2016-03-03,577.96,579.87,573.11,577.49,2736673
2016-03-04,581.07,581.4,571.06,575.14,3405070
2016-03-07,573.54,573.63,555.55,562.8,4926936
2016-03-08,557.87,571.35,554.74,560.26,4709432
2016-03-09,559.56,560.35,550.12,559.47,4373282
2016-03-10,566.74,567.0,547.9,558.93,3914343
2016-03-11,566.95,570.06,562.73,569.61,3755372
2016-03-14,567.0,576.89,563.05,573.37,3451873
2016-03-15,571.0,581.52,567.0,577.02,3876821
2016-03-16,576.64,581.32,571.14,574.27,3474570
2016-03-17,569.51,571.4,555.01,559.44,5918200
2016-03-18,560.94,562.33,546.09,552.08,7263345
2016-03-21,548.91,555.24,538.58,553.98,5146137
2016-03-22,545.11,562.76,545.05,560.48,3990902
2016-03-23,561.0,572.48,558.1,569.63,3966131
2016-03-24,567.11,583.55,567.08,582.95,5141569
2016-03-28,584.4,584.75,575.56,579.87,3118032
2016-03-29,580.15,595.85,576.5,593.86,4167059
2016-03-30,596.71,603.24,595.0,598.69,3887968
2016-03-31,599.28,600.75,592.21,593.64,2673617
2016-04-01,590.49,599.03,588.3,598.5,2912350
